Date,Production production,Milk cows production,Milk per cow production,Production,All milk prices,Class III (cheese milk) 3.5% fat price,Class IV (butter-powder milk) 3.5% fat price,"Butter, Grade AA price","Cheddar cheese, 40-pound blocks price","Cheddar cheese, 500-pound barrels price","  Nonfat dry milk, Central and East price",Consumer Price Index,All food retail price,Dairy products retail price,Fluid milk retail price,Other dairy products retail price,Butter output,American cheese output,Other-than-American cheese output,Frozen products 2 output,Nonfat dry milk output,Commercial butter stock,Commercial American cheese  stock,Other-than-American cheese stock,Manufacturers' nonfat dry milk stock,All commercial (m.e.-fat) 3 stock,All commercial (m.e.-skim) stock,Butter commercial disappearance,American cheese commercial disappearance,Other-than-American cheese  commercial disappearance,Nonfat dry milk and skim milk powder commercial disappearance,m.e.-milk fat disappearance,m.e.-skim solids disappearance,Milkfat disappearance,Skim solids disappearance,All products (m.e.-fat) Imports,All products (m.e.-skim) Imports,All products (m.e.-fat) exports,All products (m.e.-skim) exports,Butter Oceania export prices,Nonfat dry milk Oceania export prices
Sep-18,"16,561","8,807","1,880","17,395",17,16,15,2,2,1,1,252,254,217,137,147,135,424,635,95,114,291,787,573,280,"17,586","10,972",148,400,612,64,"17,503","14,673",658,"1,298",544,356,839,"3,441","4,356","2,081"
Oct-18,"17,005","8,807","1,931","17,873",18,16,15,2,2,1,1,253,254,217,138,147,149,457,697,100,122,282,804,576,262,"17,099","10,525",204,440,692,45,"19,269","14,966",743,"1,333",615,428,911,"3,516","4,184","2,017"
Nov-18,"16,514","8,802","1,876","17,348",17,14,15,2,1,1,1,252,254,216,139,145,149,434,662,81,134,231,812,564,253,"15,321","10,258",230,438,652,35,"18,984","14,487",758,"1,302",531,502,817,"3,116","4,030","2,028"
Dec-18,"17,282","8,798","1,964","18,155",17,14,15,2,1,1,1,251,255,217,138,146,170,448,664,74,143,154,799,554,289,"13,315","10,421",149,437,647,94,"17,618","15,260",714,"1,377",659,501,668,"3,048","3,907","2,071"
Jan-19,"17,685","8,805","2,009","18,600",17,14,15,2,1,1,1,252,256,217,138,148,190,439,659,88,173,179,800,544,277,"13,757","10,682",158,423,610,94,"17,378","15,721",703,"1,414",479,480,686,"3,062","4,215","2,451"
Feb-19,"16,148","8,805","1,834","16,981",17,14,16,2,2,1,1,253,257,217,138,147,165,391,600,87,154,211,804,566,286,"14,682","10,891",133,395,546,44,"15,861","14,036",637,"1,261",430,435,807,"3,161","4,442","2,612"
Mar-19,"17,940","8,788","2,041","18,869",18,15,16,2,2,1,1,254,258,218,139,149,174,440,680,111,164,244,783,584,310,"15,331","11,025",152,421,622,99,"17,613","15,375",706,"1,382",507,374,858,"3,719","4,919","2,578"
Apr-19,"17,570","8,788","1,999","18,458",18,16,16,2,2,2,1,256,258,218,140,148,165,432,655,112,165,270,785,600,290,"16,133","11,080",147,418,608,100,"17,162","15,449",684,"1,385",561,500,776,"3,427","5,619","2,551"
May-19,"18,146","8,790","2,064","19,064",18,16,16,2,2,2,1,256,258,218,139,150,161,444,665,116,171,291,783,616,275,"17,121","11,060",143,427,642,47,"18,073","15,748",703,"1,405",654,558,859,"3,604","5,492","2,533"
Jun-19,"17,374","8,777","1,979","18,256",18,16,17,2,2,2,1,256,258,217,139,150,145,427,641,115,156,314,787,601,284,"17,813","11,230",137,412,616,101,"17,576","15,472",675,"1,377",641,514,816,"3,267","4,622","2,403"
Jul-19,"17,518","8,779","1,995","18,355",19,18,17,2,2,2,1,257,258,218,140,150,143,437,655,112,168,326,786,596,289,"18,226","11,163",145,434,640,96,"18,039","15,483",686,"1,371",656,597,711,"3,348","4,402","2,560"
Aug-19,"17,466","8,789","1,987","18,290",19,18,17,2,2,2,1,257,258,219,141,150,137,459,663,102,134,330,775,588,289,"18,370","11,171",169,456,632,91,"18,797","15,517",705,"1,367",635,448,778,"3,385","4,114","2,593"
Sep-19,"16,836","8,801","1,913","17,623",19,18,16,2,2,2,1,257,259,220,142,149,138,415,666,94,120,304,766,597,270,"17,607","10,897",158,396,646,48,"18,021","14,499",681,"1,282",698,423,742,"3,555","4,136","2,640"
Oct-19,"17,299","8,806","1,964","18,105",20,19,16,2,2,2,1,257,260,221,143,147,157,443,688,93,135,291,775,599,251,"17,056","10,780",213,466,668,54,"19,977","15,563",773,"1,386",674,485,700,"3,642","4,132","2,772"
